"V1","V2","V3","V4","V5","V6"
"SA","HA","CA","D8","C9",6
"C5","S8","H8","D8","S9",6
"D6","H7","D7","C7","SQ",6
"S2","H5","S6","H6","C6",6
"CA","H9","D9","C9","CQ",6
"SA","DA","CA","D6","DJ",6
"DA","H2","D2","C2","C8",6
"SA","HA","CA","D4","SQ",6
"DA","D2","D3","S4","H5",5
"C3","H4","D4","C4","S5",6
"H4","H5","H6","H7","HK",4
"S3","S10","H10","D10","CJ",6
"S3","H3","C3","DJ","CK",6
"D2","H6","SK","HK","DK",6
"CA","D2","S3","C4","C5",5
"H2","S6","S8","D8","C8",6
"SA","HA","DA","H5","C5",3
"SA","HA","CA","C8","HK",6
"S10","D10","C10","HQ","CQ",3
"H9","S10","SJ","CQ","DK",5
"SA","HA","CA","C2","D8",6
"H6","H7","D8","H9","S10",5
"S2","H2","C2","H5","H9",6
"H6","H9","SJ","HJ","DJ",6
"H2","H7","S8","H8","C8",6
"S5","H5","C5","D8","DK",6
"H7","H9","SK","DK","CK",6
"SA","HA","CA","H3","CK",6
"SA","HA","DA","C5","D8",6
"D3","S4","H4","D4","S10",6
"C6","S8","H8","D8","S9",6
"D2","H10","D10","C10","DJ",6
"HA","C2","H3","C4","S5",5
"H5","D5","S10","H10","C10",3
"CA","S2","H2","D2","SK",6
"H2","H8","S9","H9","D9",6
"D4","S6","D6","C6","S8",6
"D5","C6","S10","H10","D10",6
"H6","S7","H7","C7","CJ",6
"D3","H4","C5","S6","C7",5
"SA","S7","S9","S10","SJ",4
"S3","D5","S7","H7","C7",6
"D5","D8","H9","D9","C9",6
"SA","DA","CA","H3","S4",6
"H6","D6","C6","C10","DQ",6
"S7","H7","D7","CJ","SK",6
"S10","H10","C10","HK","DK",3
"H3","D3","C3","S10","H10",3
"HA","S10","D10","C10","DJ",6
"SA","S4","S9","D9","C9",6
"S5","D5","C5","C7","DQ",6
"S3","D3","C3","C6","HJ",6
"S3","H3","D3","C7","DJ",6
"S5","C6","C7","C8","C9",5
"H3","D3","C3","D7","SJ",6
"S3","C5","SQ","DQ","CQ",6
"D5","S6","D7","C8","D9",5
"S2","S4","S10","H10","C10",6
"S3","D3","C3","C5","DQ",6
"C4","H5","D6","C7","S8",5
"S3","H3","D3","S6","H7",6
"S5","D5","C5","H10","D10",3
"H2","D2","C2","D6","H8",6
"HA","C6","SJ","HJ","CJ",6
"D2","D8","S9","D9","C9",6
"D3","H8","SK","HK","DK",6
"SA","S5","D5","C5","CQ",6
"D2","D3","D4","H5","S6",5
"C5","C7","C9","C10","CK",4
"S2","H6","D6","C6","S10",6
"DA","S7","SQ","DQ","CQ",6
"H4","S7","H7","D7","H8",6
"H4","H7","D7","C7","D10",6
"C4","S5","H5","D5","C7",6
"H3","C8","S9","H9","C9",6
"S2","H2","D2","C3","SK",6
"SA","HA","DA","S5","C5",3
"SA","DA","CA","C5","S8",6
"S4","S10","H10","D10","SK",6
"S2","C3","SK","HK","CK",6
"S2","D3","H4","C5","S6",5
"C3","S9","S10","D10","C10",6
"D2","S4","H4","D4","S10",6
"H6","D7","C8","H9","H10",5
"H2","H8","H9","H10","HK",4
"S5","H9","S10","H10","D10",6
"CA","C3","C7","C8","C9",4
"C4","D8","SQ","DQ","CQ",6
